,Mario Kart 8 Deluxe,Super Mario Odyssey ,Mario + Rabbids Kingdom Battle,Mario Tennis Aces,Captain Toad: Treasure Tracker,Super Smash Bros. Ultimate,Super Mario Party,New Super Mario Bros U Deluxe,Yoshi,Luigi's Mansion 3 
"Super Mario Odyssey (Nintendo Switch, 2017) Pre-owned Free Shipping Excellent!",3.4641016151377544,2.8284271247461903,3.605551275463989,3.4641016151377544,3.872983346207417,3.605551275463989,3.1622776601683795,3.4641016151377544,3.4641016151377544,3.605551275463989
"Super Mario Odyssey (Nintendo Switch, 2017) Fast Shipping!",3.0,2.23606797749979,3.1622776601683795,3.0,3.4641016151377544,3.1622776601683795,2.6457513110645907,3.0,3.0,3.1622776601683795
SUPER MARIO ODYSSEY ( NINTENDO SWITCH 2017 ) CASE NO GAME,3.1622776601683795,2.449489742783178,3.3166247903554,3.1622776601683795,3.605551275463989,3.3166247903554,2.8284271247461903,3.1622776601683795,3.1622776601683795,3.3166247903554
"Mario Tennis Aces (Nintendo Switch, 2018)",2.6457513110645907,2.6457513110645907,2.8284271247461903,1.7320508075688772,3.1622776601683795,3.1622776601683795,2.6457513110645907,3.0,2.6457513110645907,2.8284271247461903
Mario Tennis Aces Nintendo Switch Brand New,2.8284271247461903,2.8284271247461903,3.0,2.0,3.3166247903554,3.3166247903554,2.8284271247461903,2.8284271247461903,2.8284271247461903,3.0
"Mario Kart 8 Deluxe (Nintendo Switch, 2017)",1.7320508075688772,2.6457513110645907,2.8284271247461903,2.6457513110645907,3.1622776601683795,3.1622776601683795,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.8284271247461903
"Mario Kart 8 Deluxe (Nintendo Switch, 2017)",1.7320508075688772,2.6457513110645907,2.8284271247461903,2.6457513110645907,3.1622776601683795,3.1622776601683795,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.8284271247461903
Super Mario Party - Nintendo Switch,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,3.0,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,2.6457513110645907
Super Mario Party Nintendo Switch,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,3.0,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,2.6457513110645907
"Mario Kart 8 Deluxe (Nintendo Switch, 2017)",1.7320508075688772,2.6457513110645907,2.8284271247461903,2.6457513110645907,3.1622776601683795,3.1622776601683795,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.8284271247461903
